,Rut,SubjStatus,Year,Period,SubjValidate,Grade,SubjHomologate
count,19154.0,19154.0,19154.0,19154.0,280,15104,568
unique,,,,,1,62,1
top,,,,,X,4,X
freq,,,,,280,1049,568
mean,19332333.830427065,2.332515401482719,2016.8060979429883,1.4843374752010023,,,
std,577202.929391238,0.7320204111320061,1.3250859413878406,0.5001853800633108,,,
min,14784994.0,1.0,2015.0,1.0,,,
25%,19208127.0,2.0,2016.0,1.0,,,
50%,19466141.0,2.0,2017.0,1.0,,,
75%,19635941.0,3.0,2018.0,2.0,,,
max,23801167.0,4.0,2019.0,3.0,,,
